"ID";"global_id";"Territory";"ReportingPeriod";"LivingSpaceQ1";"NumberOfHomesQ1";"LivingSpaceQ2";"NumberOfHomesQ2";"LivingSpaceQ3";"NumberOfHomesQ3";"LivingSpaceQ4";"NuberOfHomesQ4";"LivingSpaceYear";"NumberOfHomesYear";
"1";"64023273";"Северный административный округ";"2011";"62.4";"3";"";"";"";"";"23.1";"2";"85.5";"5";
"2";"64023274";"Северо-Восточный административный округ";"2011";"";"";"15.2";"1";"";"";"34.6";"2";"49.8";"3";
"3";"64023275";"Восточный административный округ";"2011";"";"";"28.5";"2";"";"";"";"";"28.5";"2";
"4";"64023276";"Юго-Восточный административный округ";"2011";"";"";"70.9";"3";"78.8";"5";"170.9";"12";"320.6";"20";
"5";"64023277";"Юго-Западный административный округ";"2011";"";"";"41.8";"2";"";"";"";"";"41.8";"2";
"6";"64023278";"Западный административный округ";"2011";"";"";"19.8";"1";"";"";"24.2";"3";"44";"4";
"7";"64023279";"Северо-Западный административный округ";"2011";"";"";"";"";"";"";"0.7";"1";"0.7";"1";
"8";"64023280";"город Москва";"2011";"62.4";"3";"176.2";"9";"78.8";"5";"253.5";"20";"570.9";"37";
"9";"64023281";"Центральный административный округ";"2012";"4.3";"1";"";"";"";"";"17.8";"1";"22.1";"2";
"10";"64023282";"Северный административный округ";"2012";"";"";"";"";"4";"1";"59";"2";"63";"3";
"11";"64023283";"Северо-Восточный административный округ";"2012";"11.9";"1";"11.5";"1";"";"";"94.6";"9";"118.1";"11";
"12";"64023284";"Юго-Восточный административный округ";"2012";"15.3";"1";"";"";"15.4";"2";"167.8";"12";"198.6";"15";
"13";"64023285";"Юго-Западный административный округ";"2012";"15.2";"2";"45.5";"2";"";"";"";"";"60.7";"4";
"14";"64023286";"Западный административный округ";"2012";"";"";"";"";"";"";"60.7";"4";"60.7";"4";
"15";"64023287";"Зеленоградский административный округ";"2012";"";"";"";"";"";"";"7.2";"1";"7.2";"1";
"16";"64023288";"город Москва";"2012";"46.7";"5";"57";"3";"19.4";"3";"407.1";"29";"530.4";"40";
"17";"64023289";"Центральный административный округ";"2013";"4.5";"1";"";"";"";"";"";"";"4.5";"1";
"18";"64023290";"Северный административный округ";"2013";"9.5";"1";"20.1";"1";"33.1";"4";"163.2";"14";"225.9";"20";
"19";"64023291";"Северо-Восточный административный округ";"2013";"";"";"";"";"";"";"107.5";"9";"107.5";"9";
"20";"64023292";"Восточный административный округ";"2013";"";"";"";"";"17.7";"1";"20";"1";"37.7";"2";
"21";"64023293";"Юго-Восточный административный округ";"2013";"";"";"";"";"22.8";"2";"37.4";"2";"60.2";"4";
"22";"64023294";"Юго-Западный административный округ";"2013";"";"";"";"";"26.2";"1";"28.9";"2";"55.1";"3";
"23";"64023295";"Западный административный округ";"2013";"";"";"";"";"15.9";"2";"119.8";"8";"135.7";"10";
"24";"64023296";"Северо-Западный административный округ";"2013";"";"";"8.6";"1";"";"";"11.8";"2";"20.4";"3";
"25";"64023298";"Зеленоградский административный округ";"2013";"";"";"20.7";"3";"12.7";"1";"";"";"33.4";"4";
"26";"64023299";"город Москва";"2013";"14";"2";"49.4";"5";"128.4";"11";"488.6";"38";"680.4";"56";
"27";"64023300";"Северный административный округ";"2014";"28.7";"2";"";"";"13.4";"1";"82.6";"4";"124.7";"7";
"28";"64023301";"Северо-Восточный административный округ";"2014";"";"";"27.5";"2";"";"";"43.9";"5";"71.4";"7";
"29";"64023302";"Восточный административный округ";"2014";"";"";"20";"1";"";"";"11.2";"1";"31.2";"2";
"30";"64023303";"Юго-Восточный административный округ";"2014";"";"";"";"";"";"";"9.5";"1";"9.5";"1";
"31";"64023304";"Западный административный округ";"2014";"";"";"10.5";"1";"28.9";"3";"27.1";"3";"66.5";"7";
"32";"64023305";"Северо-Западный административный округ";"2014";"";"";"19.7";"2";"21.9";"1";"7.6";"2";"49.2";"5";
"33";"64023306";"Зеленоградский административный округ";"2014";"";"";"14.3";"2";"";"";"";"";"14.3";"2";
"34";"64023307";"Московская область";"2014";"";"";"";"";"";"";"8.8";"1";"8.8";"1";
"35";"64023308";"город Москва (с учетом данных по Московской области)";"2014";"28.7";"2";"92";"8";"64.2";"5";"190.7";"17";"375.7";"32";
"36";"64023309";"Центральный административный округ";"2015";"";"";"9.7";"1";"";"";"90";"9";"99.7";"10";
"37";"64023310";"Северный административный округ";"2015";"24";"2";"19.5";"1";"";"";"18.2";"2";"61.7";"5";
"38";"64023311";"Северо-Восточный административный округ";"2015";"7.6";"1";"9.5";"2";"";"";"169";"11";"186.1";"14";
"39";"64023312";"Восточный административный округ";"2015";"";"";"11.8";"1";"";"";"9.1";"1";"20.9";"2";
"40";"64023313";"Юго-Восточный административный округ";"2015";"30";"1";"";"";"";"";"";"";"30";"1";
"41";"64023314";"Юго-Западный административный округ";"2015";"13.9";"2";"55.7";"3";"21.9";"1";"";"";"91.5";"6";
"42";"64023315";"Западный административный округ";"2015";"17.4";"2";"19";"3";"10.6";"1";"17.3";"3";"64.2";"9";
"43";"64023316";"Северо-Западный административный округ";"2015";"19";"1";"1.2";"4";"17.7";"5";"27.7";"2";"65.6";"12";
"44";"64023317";"Зеленоградский административный округ";"2015";"8.9";"1";"";"";"";"";"";"";"8.9";"1";
"45";"64023318";"город Москва";"2015";"120.8";"10";"126.4";"15";"50.2";"7";"331.3";"28";"628.6";"60";
"46";"282218273";"Центральный административный округ
";"2016";"";"";"12.1";"1";"";"";"2.6";"1";"14.7";"2";
"47";"282218323";"Северный административный округ
";"2016";"";"";"7.2";"1";"";"";"60.1";"3";"67.3";"5";
"48";"282218362";"Северо-Восточный административный округ
";"2016";"";"";"63.1";"4";"17.8";"1";"56.7";"3";"137.6";"8";
"49";"282218432";"Восточный административный округ
";"2016";"18.6";"2";"";"";"";"";"";"";"18.6";"2";
"50";"282218511";"Юго-Восточный административный округ
";"2016";"7.2";"1";"7.2";"1";"";"";"";"";"14.4";"2";
"51";"282218549";"Юго-Западный административный округ
";"2016";"";"";"6.6";"1";"23.2";"2";"";"";"29.8";"3";
"52";"282218581";"Западный административный округ
";"2016";"";"";"41.6";"2";"45.2";"3";"44.5";"4";"131.3";"9";
"53";"282218668";"Северо-Западный административный округ
";"2016";"";"";"";"";"9";"1";"";"";"9";"1";
"54";"401150913";"Северный административный округ";"2017";"6.1";"1";"15.7";"1";"";"";"17.6";"3";"39.4";"5";
"55";"401151881";"Западный административный округ";"2017";"14.6";"1";"4.2";"1";"17.6";"1";"15.7";"1";"52.1";"4";
"56";"401152378";"Северо-Западный административный округ";"2017";"";"";"14";"1";"";"";"";"";"14";"1";
"58";"435079740";"Северо-Восточный административный округ";"2017";"";"";"28.2";"2";"5.8";"1";"65.2";"9";"99.5";"12";
"59";"435079741";"Восточный административный округ";"2017";"";"";"19.7";"1";"3.4";"1";"";"";"23.2";"2";
"60";"832243203";"Юго-Западный административный округ";"2017";"";"";"";"";"";"";"11.5";"2";"11.5";"2";
"61";"860314694";"Юго-Западный административный округ";"2018";"13.6";"1";"48.7";"2";"";"";"13.2";"2";"82.1";"5";
"62";"860314707";"Западный административный округ";"2018";"7.3";"1";"49.2";"2";"10.1";"1";"5.3";"1";"71.9";"5";
"63";"860314724";"Юго-Восточный административный округ";"2018";"3.5";"1";"";"";"7.7";"1";"57.7";"4";"68.9";"6";
"64";"878479587";"Южный административный округ";"2018";"";"";"17.7";"1";"";"";"";"";"17.7";"1";
"65";"889847403";"Северный административный округ";"2018";"";"";"";"";"9.5";"1";"";"";"9.5";"1";
"66";"895785689";"Восточный административный округ";"2018";"";"";"";"";"";"";"12.9";"1";"12.9";"1";
"67";"912308191";"Северо-Восточный административный округ";"2019";"8.8";"1";"91.5";"4";"62.1";"3";"70.8";"4";"220.9";"11";
"68";"916265835";"Северный административный округ";"2019";"21.8";"1";"";"";"";"";"";"";"21.8";"1";
"69";"916265836";"Западный административный округ";"2019";"7.4";"1";"21.7";"1";"";"";"";"";"29.1";"2";
"70";"930773991";"Юго-Восточный административный округ";"2019";"";"";"73.7";"5";"40.7";"4";"167.7";"15";"282.1";"24";
"71";"1006691536";"Центральный административный округ";"2019";"";"";"";"";"83.7";"1";"";"";"83.7";"1";
"72";"1026703737";"Южный административный округ";"2019";"";"";"";"";"";"";"19.1";"1";"19.1";"1";
"73";"1031059263";"Южный административный округ";"2020";"5.7";"1";"";"";"";"";"20.3";"1";"26";"2";
"74";"1035529521";"Юго-Восточный административный округ";"2020";"";"";"11.9";"1";"9.6";"1";"16.8";"2";"38.3";"4";
"75";"1035529522";"Юго-Западный административный округ";"2020";"";"";"48.3";"2";"";"";"";"";"48.3";"2";
"76";"1047616469";"Северный административный округ";"2020";"";"";"";"";"4.9";"1";"8.9";"1";"13.8";"2";
"77";"1061602706";"Западный административный округ";"2020";"";"";"";"";"39.7";"1";"29.2";"1";"68.9";"2";
"78";"1069172735";"Восточный административный округ";"2020";"";"";"";"";"";"";"18.6";"2";"18.6";"2";
"80";"1136386928";"Восточный административный округ";"2021";"79.3";"";"";"";"";"";"";"";"79.3";"9";
"81";"1136386940";"Юго-Восточный административный округ";"2021";"";"";"";"";"";"";"";"";"229.3";"11";
"82";"1136386942";"Южный административный округ";"2021";"";"";"";"";"";"";"";"";"45";"5";
"83";"1136386975";"Юго-Западный административный округ";"2021";"";"";"";"";"";"";"";"";"41.7";"4";
"84";"1136386976";"Новомосковский и Троицкий административные округа";"2021";"";"";"";"";"";"";"";"";"70.7";"2";
"85";"1136386977";"Северо-Западный административный округ";"2021";"";"";"";"";"";"";"";"";"104.4";"7";
"86";"1136386991";"Северо-Восточный административный округ";"2021";"";"";"";"";"";"";"";"";"38.3";"4";
"87";"1136387002";"Северный административный округ";"2021";"";"";"";"";"";"";"";"";"85.4";"7";
"88";"1136387039";"Западный административный округ";"2021";"";"";"";"";"";"";"";"";"66.5";"5";
